"Qty";"Value";"Device";"Package";"Parts";"Description";"ARROW_ELECTRONICS-PURCHASE-URL";"ARROW_PART_NUMBER";"ARROW_PRICE-STOCK";"AVAILABILITY";"DESCRIPTION";"DIGIKEY-PURCHASE-URL";"HEIGHT";"MANUFACTURER_NAME";"MANUFACTURER_PART_NUMBER";"MF";"MOUSER-PURCHASE-URL";"MOUSER_PART_NUMBER";"MOUSER_PRICE-STOCK";"MP";"PACKAGE";"PRICE";
"1";"5.1k";"ERJ-1GNJ224C";"RESC0603X26N";"R6";"RES SMD 220K OHM 5% 1/20W 0201";"";"";"";"Unavailable";" ThickFilmChipResistor 0201 5%, HalogenFre 220K ohm ";"https://snapeda.com/shop?store=DigiKey&id=1030373";"";"";"";"Panasonic";"https://snapeda.com/shop?store=Mouser&id=1030373";"";"";"ERJ-1GNJ224C";"0603 Rohm Semiconductor";"None";
"1";"510k";"ERJ-1GNJ224C";"RESC0603X26N";"R17";"RES SMD 220K OHM 5% 1/20W 0201";"";"";"";"Unavailable";" ThickFilmChipResistor 0201 5%, HalogenFre 220K ohm ";"https://snapeda.com/shop?store=DigiKey&id=1030373";"";"";"";"Panasonic";"https://snapeda.com/shop?store=Mouser&id=1030373";"";"";"ERJ-1GNJ224C";"0603 Rohm Semiconductor";"None";
"1";"78723-1001";"78723-1001";"MOLEX_78723-1001";"P1";"1.35mm Height Push-Pull micro-SIM Card Socket with Spring Tab, SMT, 6 Circuits, Halogen-Free, Lead-Free";"";"";"";"Unavailable";" 6 Position Card Connector Micro SIM Surface Mount, Right Angle Gold ";"";"";"";"";"Molex";"";"";"";"78723-1001";"None";"None";
"1";"ACM2012-900-2P-T001";"ACM2012-900-2P-T001";"ACM20129002PT001";"FL1";"Common Mode Chokes Dual 90Ohm 100MHz 400mA 190mOhm DCR SMD Automotive T/R";"";"ACM2012-900-2P-T001";"https://www.arrow.com/en/products/acm2012-900-2p-t001/tdk";"";"Common Mode Chokes Dual 90Ohm 100MHz 400mA 190mOhm DCR SMD Automotive T/R";"";"1.3mm";"TDK";"ACM2012-900-2P-T001";"";"";"810-ACM20129002PT001";"https://www.mouser.com/Search/Refine.aspx?Keyword=810-ACM20129002PT001";"";"";"";
"10";"AQHV15-01LTG-C";"AQHV15-01LTG-C";"AQHV1501LTGC";"D2, D4, D5, D7, D8, D9, D10, D11, D12, D13";"ESD Suppressors / TVS Diodes 1Ch 300W 15V Bi-Dir";"";"AQHV15-01LTG-C";"";"";"ESD Suppressors / TVS Diodes 1Ch 300W 15V Bi-Dir";"";"0.77mm";"LITTELFUSE";"AQHV15-01LTG-C";"";"";"576-AQHV15-01LTG-C";"https://www.mouser.co.uk/ProductDetail/Littelfuse/AQHV15-01LTG-C?qs=qSfuJ%252Bfl%2Fd7ApUs5jOR9YA%3D%3D";"";"";"";
"1";"CP2104-F03-GM";"CP2104-F03-GM";"QFN50P400X400X80-25N";"U1";"Silabs CP2104 USB to UART Bridge";"";"";"";"Unavailable";" USB Bridge, USB to UART USB 2.0 UART Interface 24-QFN (4x4) ";"";"";"";"";"Silicon Labs";"";"";"";"CP2104";"QFN-24 Silicon Labs";"None";
"1";"ESP32-WROVER";"ESP32-WROVER";"XCVR_ESP32-WROVER";"U2";"Module: combo; GPIO, I2C x2, I2S x2, SDIO, SPI x3, UART x3; 19.5dBm";"";"";"";"Unavailable";" Bluetooth, WiFi 802.11b/g/n, Bluetooth v4.2 +EDR, Class 1, 2 and 3 Transceiver Module 2.4GHz ~ 2.5GHz PCB Trace Surface Mount ";"https://snapeda.com/shop?store=DigiKey&id=2293722";"";"";"";"Espressif Systems";"https://snapeda.com/shop?store=Mouser&id=2293722";"";"";"ESP32-WROVER";"Module Espressif Systems";"None";
"1";"IP5306_4.35V";"IP5306_4.35V";"SOIC127P600X165-9N";"IC4";"2.1A Charging 2.4 A Discharge Highly Integrated Mobile Power Supply";"";"IP5306_4.35V";"";"";"2.1A Charging 2.4 A Discharge Highly Integrated Mobile Power Supply";"";"1.65mm";"INJOINIC";"IP5306_4.35V";"";"";"";"";"";"";"";
"1";"KMR621NGLFS";"KMR621NGLFS";"KMR621NGLFS";"S1";"Tactile Switches 50mA 32VDC 1.9mmH 2N IP67";"";"KMR621NGLFS";"";"";"Tactile Switches 50mA 32VDC 1.9mmH 2N IP67";"";"1.9mm";"C & K COMPONENTS";"KMR621NGLFS";"";"";"611-KMR621NGLFS";"https://www.mouser.co.uk/ProductDetail/CK/KMR621NGLFS?qs=HXFqYaX1Q2yW62rsqjQaoA%3D%3D";"";"";"";
"1";"ME6211C33M5G";"ME6211C33M5G";"SOT95P282X145-5N";"IC2";"High Speed LDO Regulators, High PSRR, Low noise, ME6211 Series";"";"ME6211C33M5G";"";"";"High Speed LDO Regulators, High PSRR, Low noise, ME6211 Series";"";"1.45mm";"Microne";"ME6211C33M5G";"";"";"";"";"";"";"";
"1";"MMBT3904";"MMBT3904";"SOT95P240X120-3N";"Q2";"MMBT3904 Series 40 V CE Breakdown 0.2 A NPN General Purpose Amplifier - SOT-23";"https://snapeda.com/shop?store=Arrow+Electronics&id=2875870";"";"";"Unavailable";" Bipolar (BJT) Transistor NPN 40V 200mA 300MHz 300mW Surface Mount SOT-23-3 ";"";"";"";"";"STMicroelectronics";"";"";"";"MMBT3904";"SOT-23-3 Taiwan Semiconductor";"None";
"1";"NCE3401";"NCE3401";"SOT95P240X115-3N";"Q1";"MOSFET P Trench 30V 4.2A 1.3V @ 250uA 55 m @ 4.2A,10V SOT-23(SOT-23-3) RoHS";"";"NCE3401";"";"";"MOSFET P Trench 30V 4.2A 1.3V @ 250uA 55 m @ 4.2A,10V SOT-23(SOT-23-3) RoHS";"";"1.15mm";"Wuxi NCE Power Semiconductor";"NCE3401";"";"";"";"";"";"";"";
"1";"SIM800L";"SIM800L";"MODULE_SIM800L";"U3";"SIM8000L. Quad-band GSM/GPRS Module";"";"";"";"Unavailable";" SIM800L GSM RF M5Stack Platform Evaluation Expansion Board ";"";"";"";"";"Simcom";"";"";"";"SIM800L";"None";"None";
"2";"SY8089AAAC";"SY8089AAAC";"SOT95P285X140-5N";"IC1, IC3";"DC-DC Converters Step-Down Adjustable 1 2.7V 5.5V 0.6V 5.5V 2A SOT-23-5 RoHS";"";"SY8089AAAC";"";"";"DC-DC Converters Step-Down Adjustable 1 2.7V 5.5V 0.6V 5.5V 2A SOT-23-5 RoHS";"";"1.4mm";"Silergy Corp";"SY8089AAAC";"";"";"";"";"";"";"";
"1";"U.FL-R-SMT-1_10_";"U.FL-R-SMT-1_10_";"U.FL-R-SMT-1(10)";"ANT";"UFL SMT PCB receptable,DC-6GHz Hirose Straight 50 Surface Mount UFL Connector, Receptacle, Solder Termination Coaxial";"";"U.FL-R-SMT-1(10)";"https://www.arrow.com/en/products/u.fl-r-smt-1-10/hirose-electric";"";"UFL SMT PCB receptable,DC-6GHz Hirose Straight 50 Surface Mount UFL Connector, Receptacle, Solder Termination Coaxial";"";"mm";"Hirose";"U.FL-R-SMT-1(10)";"";"";"798-U.FL-R-SMT-110";"https://www.mouser.co.uk/ProductDetail/Hirose-Connector/UFL-R-SMT-110?qs=kL1ClTr6oBoOdtqlGQpQrQ%3D%3D";"";"";"";
"1";"UMH3N";"UMH3N";"SOP65P210X100-6N";"U$10";"Dual PNP/NPN transistor for chip reset";"";"";"";"Unavailable";" Pre-Biased Bipolar Transistor (BJT) 2 NPN - Pre-Biased (Dual) 50V 100mA 250MHz 150mW Surface Mount UMT6 ";"";"";"";"";"Rohm";"";"";"";"UMH3N";"SOT-363 Rohm";"None";
"1";"typec3.1";"105450-0101";"MOLEX_105450-0101";"J1";"USB Shielded I/O Receptacle; Type C; Right Angle; Surface Mount; Gold over Nickel";"";"";"";"Unavailable";" USB-C (USB TYPE-C) USB 3.1 (USB 3.1 Gen 2, Superspeed+) Receptacle Connector 24 Position Surface Mount, Right Angle";" Through Hole ";"";"";"";"";"Molex";"";"";"";"1054500101";"None";
